wind_speed,wind_impact_duration,water_deep,wave_height
36.62,38.04,59.03,61.2
17.36,37.51,73.98,20.2
52.28,6.59,50.98,74.1
67.23,10.1,60.51,89.0
24.96,22.9,48.91,83.9
82.42,46.1,6.93,92.8
54.7,78.78,3.97,74.5
31.23,95.0,62.06,56.0
3.22,5.58,11.84,63.7
49.85,29.93,25.4,98.7
44.73,70.11,22.95,9.6
17.37,17.18,44.44,33.3
18.1,30.6,93.83,92.7
41.99,1.93,71.89,88.4
18.07,87.34,36.67,87.9
66.37,92.28,88.9,33.6
80.78,97.71,93.32,68.8
90.45,87.56,99.32,43.3
38.09,82.83,59.34,4.7
72.68,94.77,98.15,79.4
54.27,1.43,34.3,37.2
63.84,30.18,20.86,45.6
54.3,95.6,68.98,10.7
99.0,3.31,25.12,52.8
61.2,99.44,27.47,77.1
1.96,98.93,19.11,54.4
34.16,38.3,3.21,58.5
50.57,90.93,4.46,34.2
45.71,12.99,55.39,46.0
6.31,30.23,10.09,79.8
92.02,44.45,64.72,1.4
1.2,1.52,67.15,64.1
76.43,1.79,18.59,64.6
50.41,18.96,41.14,52.7
61.37,10.07,23.59,86.4
60.6,57.08,43.36,72.5
31.68,40.85,50.2,63.7
8.94,88.1,39.4,97.5
83.34,34.36,25.64,91.8
3.18,75.96,71.11,79.3
76.5,62.54,31.44,83.6
48.64,55.28,74.23,76.7
76.85,69.16,40.41,26.2
30.81,86.76,15.22,87.5
34.24,44.51,4.99,56.7
85.64,14.96,34.74,31.0
46.18,70.55,19.7,24.7
14.71,70.98,10.25,75.7
87.13,2.26,45.52,50.4
50.78,27.99,94.19,46.7
86.68,53.53,94.25,75.6
83.85,11.85,10.11,56.0
25.15,28.19,20.22,19.3
32.73,89.34,56.96,16.6
86.24,36.41,30.95,84.4
35.86,12.62,42.23,39.4
18.49,6.18,93.31,11.9
74.73,77.92,96.82,26.5
88.61,16.44,74.61,5.1
63.59,22.23,35.67,53.4
32.82,27.61,61.35,87.2
66.99,82.49,89.64,64.0
82.38,47.22,20.98,40.8
43.98,82.6,66.96,36.6
21.53,72.27,29.55,39.0
20.66,54.87,54.81,93.2
39.05,85.33,59.36,75.1
25.97,80.86,85.22,70.1
63.15,23.65,12.33,86.9
5.78,87.79,1.69,43.3
23.92,85.61,84.11,26.8
25.59,27.75,82.47,81.8
93.88,37.91,80.94,47.7
72.56,39.65,16.82,40.3
65.19,39.47,20.39,63.1
17.84,29.35,3.18,98.6
26.0,70.5,38.82,21.6
21.09,93.85,70.05,89.1
72.59,93.18,37.92,36.4
21.87,72.89,15.32,60.9
9.59,16.04,72.03,92.8
64.01,30.52,59.98,23.6
51.74,56.19,33.6,10.7
99.35,33.27,89.73,13.0
31.9,8.2,46.49,35.9
87.92,54.63,95.04,40.8
33.22,99.75,49.52,94.8
86.25,69.89,45.63,99.2
29.37,10.05,96.39,26.3
82.34,48.45,73.83,44.3
72.92,31.05,81.15,54.9
22.89,76.94,47.86,11.5
50.77,79.57,84.15,24.2
37.3,89.71,86.59,50.8
38.1,26.5,77.95,44.0
99.31,1.2,81.69,1.4
38.95,75.27,29.64,81.1
34.8,93.21,6.09,36.8
83.84,85.0,45.26,99.4
82.18,8.21,94.89,75.4
54.03,65.38,90.22,87.8
47.7,39.75,93.68,98.7
48.64,60.84,65.99,27.3
10.88,27.32,42.6,96.8
42.34,49.88,55.2,35.0
53.83,29.55,16.67,25.1
52.97,86.41,80.57,37.6
45.09,22.77,3.93,51.4
12.97,34.36,10.93,89.8
56.15,28.57,28.12,70.6
99.99,80.8,79.5,21.8
29.39,99.57,77.03,46.9
6.97,87.14,23.39,63.8
88.69,53.66,49.57,17.4
40.18,10.13,9.44,21.6
93.24,55.69,69.87,55.9
18.79,18.02,43.77,58.2
2.69,40.02,88.66,55.5
48.88,48.69,69.36,91.2
33.28,57.58,38.83,84.6
41.66,84.0,99.64,21.6
15.92,4.21,58.33,97.4
58.39,7.86,86.12,50.0
94.79,56.54,65.29,21.5
14.69,47.84,71.02,51.5
49.36,2.25,59.64,47.0
62.87,91.68,59.64,39.5
35.51,68.62,30.58,13.1
95.47,34.11,9.81,94.1
